application_id,outcome
Record_803662,1
Record_803896,2
Record_803911,2
Record_803985,2
Record_804011,2
Record_802653,2
Record_804233,2
Record_804296,2
Record_804306,2
Record_804319,1
Record_804674,2
Record_804742,2
Record_804988,2
Record_805129,2
Record_805202,2
Record_805321,2
Record_805434,2
Record_805435,2
Record_805467,2
Record_805608,2
Record_805665,2
Record_805700,2
Record_805890,1
Record_805955,2
Record_805972,1
Record_805976,2
Record_806026,2
Record_806028,2
Record_806081,1
Record_806338,2
Record_806410,2
Record_806482,2
Record_806493,2
Record_806507,2
Record_806543,2
Record_806632,2
Record_806652,1
Record_806701,2
Record_806876,2
Record_806942,2
Record_807008,2
Record_807009,2
Record_807132,2
Record_807293,2
Record_807386,2
Record_807476,2
Record_807538,2
Record_807568,1
Record_807635,2
Record_807723,2
Record_807796,2
Record_807799,2
Record_807888,2
Record_807990,2
Record_808079,2
Record_808123,2
Record_808290,2
Record_808359,2
Record_808388,2
Record_808409,2
Record_808629,2
Record_808730,2
Record_808909,2
Record_808953,2
Record_808975,2
Record_809101,2
Record_809187,2
Record_809261,1
Record_809510,2
Record_809533,2
Record_809705,2
Record_809941,1
Record_809948,1
Record_809975,2
Record_810048,2
Record_810181,2
Record_810249,2
Record_810364,2
Record_810423,2
Record_810425,0
Record_810518,2
Record_810524,2
Record_810528,1
Record_810887,2
Record_810934,2
Record_810972,2
Record_810976,2
Record_810979,2
Record_811314,2
Record_811587,2
Record_811658,1
Record_811676,2
Record_811724,1
Record_811793,2
Record_811895,0
Record_811947,2
Record_812061,2
Record_812167,2
Record_812320,2
Record_812567,2
Record_812708,2
Record_812744,2
Record_812795,2
Record_812840,2
Record_812941,2
Record_813403,2
Record_813410,2
Record_813526,2
Record_813628,2
Record_813643,2
Record_813881,0
Record_813982,2
Record_814042,2
Record_814246,2
Record_814306,2
Record_814465,2
Record_814541,2
Record_814708,2
Record_814888,0
Record_814976,2
Record_815075,2
Record_815413,0
Record_815511,2
Record_815637,2
Record_815765,2
Record_815807,2
Record_815808,2
Record_815851,0
Record_816094,2
Record_816163,2
Record_816199,2
Record_816337,0
Record_816462,2
Record_816585,2
Record_816640,2
Record_816885,2
Record_816934,2
Record_817115,1
Record_817140,2
Record_817188,2
Record_817394,2
Record_817653,2
Record_817727,2
Record_817781,2
Record_818241,2
Record_818393,2
Record_818502,2
Record_818525,2
Record_818697,2
Record_818721,2
Record_818780,2
Record_818864,2
Record_818926,2
Record_819016,2
Record_819065,2
Record_819105,2
Record_819365,1
Record_819442,2
Record_819495,2
Record_819533,2
Record_819698,2
Record_819705,2
Record_819840,2
Record_819876,2
Record_820191,2
Record_820224,1
Record_820300,2
Record_820361,2
Record_820521,2
Record_820606,1
Record_820643,2
Record_820687,2
Record_820772,2
Record_820878,2
Record_820915,2
Record_820903,2
Record_820923,2
Record_820932,2
Record_821017,2
Record_821058,2
Record_821104,1
Record_821110,2
Record_821152,2
Record_821193,2
Record_821424,2
Record_821506,2
Record_821809,2
Record_821902,2
Record_821970,1
Record_821990,2
Record_822474,2
Record_822596,2
Record_822598,2
Record_822732,2
Record_822801,2
Record_822809,2
Record_822839,2
Record_822867,2
Record_822926,2
Record_822960,1
Record_823004,2
Record_823078,0
Record_823329,1
Record_823393,2
Record_823462,2
Record_823547,2
Record_823757,2
Record_823836,2
Record_823958,2
Record_824052,2
Record_824089,2
Record_824229,2
Record_824260,2
Record_824271,0
Record_824454,2
Record_824984,2
Record_825055,1
Record_825370,2
Record_825399,2
Record_825468,2
Record_825543,2
Record_825594,2
Record_825603,2
Record_825798,2
Record_825821,2
Record_825956,2
Record_826046,2
Record_826138,2
Record_826283,2
Record_826289,2
Record_826568,2
Record_826581,2
Record_826628,2
Record_826873,2
Record_826878,2
Record_827074,2
Record_827108,2
Record_827136,1
Record_827145,2
Record_827301,2
Record_827313,2
Record_827456,2
Record_827488,2
Record_827764,2
Record_827867,2
Record_827881,2
Record_828058,2
Record_828059,2
Record_828136,2
Record_828297,2
Record_828375,2
Record_828495,2
Record_828501,2
Record_828708,2
Record_828916,2
Record_829012,2
Record_829027,2
Record_829192,2
Record_829210,2
Record_829237,1
Record_829286,2
Record_829501,1
Record_829640,1
Record_829736,2
Record_830013,2
Record_830016,2
Record_830118,2
Record_830474,2
Record_830485,2
Record_830642,2
Record_830791,2
Record_830874,2
Record_830946,2
Record_831441,2
Record_831497,2
Record_831591,2
Record_831652,1
Record_831678,2
Record_831714,2
Record_832027,2
Record_832117,1
Record_832246,2
Record_832305,2
Record_832315,2
Record_832410,2
Record_832440,2
Record_832493,2
Record_832498,1
Record_832666,2
Record_832679,2
Record_832704,2
Record_832769,2
Record_832898,0
Record_832942,0
Record_832998,2
Record_833142,2
Record_833210,2
