application_id,outcome,monthly_income,effective_monthly_income,monthly_stable_income,monthly_gig_income,income_stability_score,income_regularity_score,has_verifiable_income,income_sources_count,income_trend,income_trend_pct,average_balance,minimum_balance,maximum_balance,days_in_overdraft,overdraft_frequency,overdraft_days_per_month,end_of_month_average,failed_payments_count,failed_payments_count_45d,bank_charges_count_90d,gambling_percentage,gambling_frequency,debt_collection_activity,new_credit_providers_90d,savings_activity,savings_behavior_score,has_gambling_concern,has_failed_payment_concern,has_new_credit_burst,flag_low_income_stability,flag_low_debt_management,flag_low_credit_activity,flag_no_savings,risk_flag_count,risk_tier,debt_to_income_ratio,essential_ratio,monthly_disposable,post_loan_disposable,disposable_ratio,max_affordable_amount,monthly_debt_payments,monthly_hcstc_payments,active_hcstc_count,active_hcstc_count_90d,monthly_essential_total,monthly_discretionary_total,error
RECORD_653374,2,9445.328333333333,9445.328333333333,581.5566666666667,0.0,70.3,60.0,1.0,1.0,decreasing,-35.3,136.42,-399.93,3570.54,62.0,49.0,20.67,136.42,0.0,0.0,0.0,2.8,44.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,9.9,28.7,6039.14,5792.54,63.9,1500.0,931.3366666666666,19.005,2.0,2.0,2332.23,142.62333333333333,
RECORD_653482,0,1964.6899999999998,1964.69,113.30166666666668,152.78166666666667,83.7,60.0,1.0,2.0,stable,-6.8,-743.51,-1088.28,1022.66,238.0,3.0,79.33,-743.51,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,32.4,67.0,126.69,-119.91,6.4,155.5,636.9549999999999,17.166666666666668,2.0,2.0,1153.0833333333335,47.958333333333336,
RECORD_653490,2,9731.668333333333,9731.668333333335,3863.395,1.14,48.6,60.0,1.0,2.0,increasing,36.9,1204.13,-1833.08,22154.02,72.0,29.0,24.0,1204.13,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,FLAG,7.7,10.2,8065.01,7818.41,82.9,1500.0,752.0333333333334,0.0,0.0,0.0,810.395,104.23000000000002,
RECORD_653784,2,6666.294999999999,6666.294999999999,2921.0716666666667,0.08333333333333333,92.3,60.0,1.0,3.0,stable,-8.7,130.7,-519.6,3800.37,166.0,25.0,55.33,130.7,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,34.6,62.0,461.44,214.84,6.9,834.22,2303.73,1503.5649999999998,59.0,16.0,2336.504999999999,1564.6216666666592,
RECORD_653786,2,5212.578333333334,5212.578333333334,367.24,0.0,89.8,60.0,1.0,1.0,increasing,10.4,-487.96,-975.15,348.37,239.0,5.0,79.67,-487.96,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,FLAG,3.5,85.7,941.96,695.36,18.1,1500.0,181.55,106.62833333333333,4.0,1.0,3783.493333333332,305.5766666666666,
RECORD_653851,2,4423.616666666666,4423.616666666666,332.4533333333333,0.0,84.6,60.0,1.0,1.0,stable,7.7,-723.91,-1358.16,894.74,243.0,9.0,81.0,-723.91,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,18.4,67.4,889.61,643.01,20.1,1500.0,813.6366666666667,124.95166666666667,3.0,2.0,2633.5633333333344,86.80333333333334,
RECORD_653902,2,5525.373333333334,5525.373333333333,3288.581666666667,0.0,59.3,60.0,1.0,2.0,increasing,58.4,137.19,-5910.66,2489.84,82.0,42.0,27.33,137.19,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,25.5,69.4,622.74,376.14,11.3,1161.28,1406.5716666666667,458.385,22.0,6.0,3395.726666666667,100.33166666666669,
RECORD_654004,2,3672.1450000000004,3672.1450000000004,2869.67,0.0,82.6,40.0,1.0,1.0,decreasing,-23.2,234.47,-206.3,2354.99,26.0,25.0,8.67,234.47,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,22.5,34.7,1682.03,1435.43,45.8,1500.0,825.1700000000001,319.1316666666666,23.0,8.0,1077.3566666666668,87.59333333333335,
RECORD_654237,2,4310.918333333334,4310.918333333334,2567.9500000000003,0.0,88.7,60.0,1.0,1.0,increasing,10.1,-726.55,-1334.32,1036.29,301.0,12.0,100.33,-726.55,12.0,1.0,3.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,39.6,42.4,903.01,656.41,20.9,1500.0,1708.4166666666665,849.3916666666668,51.0,13.0,1274.0366666666685,425.4583333333328,
RECORD_654435,2,3883.9249999999997,3883.9249999999997,3331.1299999999997,6.123333333333334,79.8,40.0,1.0,2.0,increasing,18.9,405.96,-207.9,3344.67,72.0,27.0,24.0,405.96,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,29.6,64.7,433.35,186.75,11.2,777.26,1149.325,396.61833333333334,12.0,8.0,2117.126666666666,184.12666666666667,
